"num","Sujeto","CIF","OBS","Razon","GWh_15","pp_ventas","Obli_ahoGWh","IEEoa_17_EUR","Ajus_16","IEEoa_17_ajus16_EUR"
"451","ee","B91794941",1,"PULSAR SERVICIOS ENERGÉTICOS,  S.L.",0,0,0,0,0,0
"452","g","A87102703",1,"REMICA COMERCIALIZADORA, S.A.",42.658,0.00549,0.165869,11265.25,0,11265.25
"453","ee","B87161543",1,"RENEWABLE VENTURES, S.L.",0,0,0,0,0,0
"454","g+glp","A28076420",NA,"REPSOL BUTANO, S.A.",12909.369426,1.661343,50.196037,3409143.19,4553.27,3413696.47
"455","g+pp","A80298839",NA,"REPSOL COMERCIAL DE PRODUCTOS PETROLIFEROS, S.A.",145578.132,18.734858,566.057499,38444689.4,50937.07,38495626.47
"456","g","A79787420",NA,"REPSOL LNG HOLDING, S.A",0,0,0,0,0,0
"457","pp","A28047223",NA,"REPSOL PETRÓLEO,  S.A.",594.4,0.076495,2.31123,156970.85,239.58,157210.43
"458","ee","A65376766",NA,"RESPIRA ENERGIA, S.A.",158,0.020333,0.614358,41725.09,36.42,41761.51
"459","ee","B98762107",1,"REYSE ENERGIA S.L.",0,0,0,0,NA,0
"460","ee","A61621843",NA,"ROFEICA ENERGÍA, S.A.",3.640881,0.000469,0.014157,961.49,0,961.49
"461","ee","B37500238",1,"RONDA OESTE ENERGÍA, S.L.",0,0,0,0,0,0
"462","g","DE813022070",NA,"RWE SUPPLY & TRADING GmbH (Sucursal en el Reino Unido)",0,0,0,0,0,0
"463","ee","A07088206",NA,"SAMPOL INGENIERÍA Y OBRAS, S.A.",64.001,0.008236,0.248858,16901.57,16.42,16917.99
"464","g","500883750",1,"ROLEAR - Automatizações,  Estudos e Representações,  S.A.",0,NA,NA,NA,NA,0
"465","pp","B90202698",1,"SANVEZ HIDROCARBUROS, S.L.",16.4302,0.002114,0.063886,4338.93,0,4338.93
"466","pp","A80503105",NA,"SARAS ENERGÍA, S.A.",13189.94,1.69745,51.286992,3483237.07,4818.2,3488055.27
"467","pp","FR53490348141",NA,"SAS NORD-ESTER",0,0,0,0,0,0
"468","pp","B93352359",2,"SERVICIOS OMARPAR 2014, S.L.",0,0,0,0,NA,0
"469","ee","A22004675",NA,"SERVICIOS URBANOS DE CERLER, S.A.",1.07815,0.000139,0.004192,284.72,0.41,285.13
"470","ee+g","A99262610",NA,"SERVIGAS S. XXI, S.A.",506.36632,0.065166,1.968925,133722.67,133.97,133856.64
"471","pp","B86358520",NA,"SHELL & DISA AVIATION ESPAÑA, S.L.",15.9,0.002046,0.061825,4198.92,14.81,4213.73
"472","ee+g","GB 235763255",NA,"SHELL ENERGY TRADING LIMITED",0,0,0,0,0,0
"473","ee+g+pp","A28013522",NA,"SHELL ESPAÑA, S.A.",309.27,0.039801,1.202547,81672.91,189.45,81862.36
"474","g","A83303776",NA,"SHELL SPAIN LNG, S.A.",0,0,0,0,0,0
"475","pp","A80097207",3,"SIERRA CAMEROS, S.A.",0,0,0,0,0,0
"476","pp","A55524086",NA,"SIMON GRUP TRADE, S.A.",941.59,0.121176,3.661224,248657.78,445.11,249102.89
"477","pp","B98790330",2,"SKT OIL, S.L.",0,0,0,0,NA,0
"478","pp","F47005368",NA,"SOCIEDAD COOPERATIVA  GENERAL AGROPECUARIA  ACOR",0,0,0,0,0,0
"479","ee+g","A36000073",NA,"SOCIEDAD ELECTRICISTA  DE TUY, S.A.",38.430153,0.004946,0.14943,10148.74,15.76,10164.5
"480","pp","A58415779",NA,"SOCIETAT CATALANA DE PETROLIS S.A. (PETROCAT)",2385.2388,0.306963,9.274623,629900.68,701.51,630602.19
"481","ee","B25583147",NA,"SOCIETAT MUNICIPAL DE DISTRIBUCIÓ  ELÉCTRICA DE TIRVIA, S.L.",0.347885,4.5e-05,0.001353,91.87,0.13,92
"482","ee","B18831842",1,"SOLAR EUROPE ANDALUCÍA, S.L.",0,0,0,0,0,0
"483","ee","B93257640",NA,"SOLELEC IBÉRICA, S.L.",43.092146,0.005546,0.167557,11379.9,3.65,11383.55
"484","ee","F55091367",NA,"SOM ENERGÍA, S.C.C.L.",79.8747,0.010279,0.31058,21093.54,16.02,21109.56
"485","g","A84689272",NA,"SONATRACH GAS COMERCIALIZADORA, S.A.",1682.88934,0.216576,6.543649,444422.23,507.62,444929.85
"486","pp","B87560025",2.3,"SONOIL OPERADORA,  S.L.",0,0,0,0,NA,0
"487","pp","B04777868",NA,"SOPHIM IBERIA, S.L.",0,0,0,0,0,0
"488","ee","B85114098",NA,"STAGIONI ENERGIA RENOVABLES,  S.L.",9.351257,0.001203,0.036361,2469.51,1.25,2470.76
"489","ee","DE204011192",NA,"STATKRAFT  MARKETS GmbH",0,0,0,0,0,0
"490","g","NO923609016MVA",NA,"STATOIL ASA",0,0,0,0,0,0
"491","pp","B62441266",NA,"STRATUS OIL COMPANY, S.L.",0,0,0,0,0,0
"492","ee","B76200070",1,"SUMINISTRADORA ELÉCTRICA VIENTOS ALISIOS DE LANZAROTE,  S.L.",8.014725,0.001031,0.031164,2116.55,0,2116.55
"493","ee","F46004834",NA,"SUMINISTROS  ESPECIALES  ALGINETENSES COOP. V.",30.61004,0.003939,0.119022,8083.59,10.47,8094.06
"494","ee","B55615009",NA,"SUNAIR ONE ENERGY EVOLUTION, S.L.",0,0,0,0,0,0
